precinct_id,registered_voters,contest_name,total_votes_cast,Eugene DePasquale - Election Day,Eugene DePasquale - Absentee,Eugene DePasquale - Provisional,Dave Sunday - Election Day,Dave Sunday - Absentee,Dave Sunday - Provisional,Robert Cowburn - Election Day,Robert Cowburn - Absentee,Robert Cowburn - Provisional,Richard L. Weiss - Election Day,Richard L. Weiss - Absentee,Richard L. Weiss - Provisional,Justin L. Magill - Election Day,Justin L. Magill - Absentee,Justin L. Magill - Provisional,Eric L. Settle - Election Day,Eric L. Settle - Absentee,Eric L. Settle - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Aleppo,1363,Attorney General,1128,282,253,6,360,176,5,7,1,1,9,1,1,1,0,0,1,1,1,0,0,0
Aspinwall Dist 1,855,Attorney General,730,340,127,9,194,28,0,8,1,0,3,2,0,2,1,0,1,0,0,0,0,0
Aspinwall Dist 2,582,Attorney General,472,211,88,8,116,15,1,6,3,0,5,1,0,3,0,0,0,0,0,0,0,0
Aspinwall Dist 3,827,Attorney General,698,329,129,10,152,38,1,8,1,0,6,2,0,1,0,0,1,1,0,1,0,0
Avalon Ward 1,1115,Attorney General,849,385,160,16,190,39,5,13,2,0,10,2,0,2,1,0,2,1,0,3,1,0
Avalon Ward 2 Dist 1,712,Attorney General,554,237,89,5,139,40,4,12,3,0,4,2,0,4,0,0,2,1,0,1,0,0
Avalon Ward 2 Dist 2,472,Attorney General,369,148,85,7,82,28,0,6,0,0,4,1,0,0,1,0,0,2,0,0,0,0
Avalon Ward 3 Dist 1,335,Attorney General,281,106,64,0,73,21,1,1,2,0,4,0,0,1,1,0,0,0,0,0,0,0
Avalon Ward 3 Dist 2,459,Attorney General,356,114,102,3,83,25,2,5,1,0,1,3,0,4,0,0,2,1,0,0,0,0
Avalon Ward 3 Dist 3,517,Attorney General,377,155,93,3,72,33,2,6,0,0,2,0,0,1,1,0,1,0,0,1,0,0
Baldwin Br Dist 1,613,Attorney General,505,151,104,2,173,49,1,5,3,0,1,1,0,1,2,0,1,0,0,0,0,0
Baldwin Br Dist 2,1041,Attorney General,881,262,219,0,280,70,1,6,2,0,3,2,0,2,0,0,2,0,0,0,1,0
Baldwin Br Dist 3,857,Attorney General,713,270,133,4,221,50,2,7,2,0,4,0,0,1,1,0,1,0,0,1,1,0
Baldwin Br Dist 4,798,Attorney General,671,194,117,3,255,55,3,4,6,1,3,3,1,3,1,0,0,0,0,0,0,0
Baldwin Br Dist 5,840,Attorney General,690,234,131,5,217,55,4,9,0,1,5,2,1,0,0,0,0,0,0,0,0,0
Baldwin Br Dist 6,743,Attorney General,616,153,129,6,229,61,3,10,0,0,6,2,0,1,0,0,0,0,0,0,0,0
Baldwin Br Dist 7,833,Attorney General,705,216,142,3,233,67,2,7,2,0,1,1,0,2,0,0,2,0,0,0,0,1
Baldwin Br Dist 8,729,Attorney General,631,165,136,1,228,57,2,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0
Baldwin Br Dist 9,776,Attorney General,636,176,149,4,197,50,5,14,3,0,2,3,1,4,0,1,2,0,1,0,0,0
Baldwin Br Dist 10,1029,Attorney General,637,221,116,11,162,63,8,13,3,1,6,3,0,2,0,0,2,1,1,1,0,0
Baldwin Br Dist 11,1308,Attorney General,826,313,192,26,167,51,7,11,3,1,8,3,0,5,1,0,1,1,0,3,0,0
Baldwin Br Dist 12,660,Attorney General,565,185,91,3,198,50,0,6,0,0,2,2,0,1,0,0,0,1,0,2,0,0
Baldwin Br Dist 13,685,Attorney General,605,186,93,3,238,53,2,6,2,0,3,0,0,3,0,0,1,0,0,0,0,0
Baldwin Br Dist 14,614,Attorney General,520,172,80,1,183,56,2,5,2,0,4,0,0,1,0,0,0,1,0,0,0,0
Baldwin Br Dist 15,806,Attorney General,705,191,148,2,262,61,3,6,1,0,8,1,0,0,1,0,0,1,0,0,0,0
Baldwin Br Dist 16,916,Attorney General,741,269,138,2,242,59,2,2,0,0,4,2,0,1,0,1,0,1,0,1,0,0
