precinct_id,registered_voters,contest_name,total_votes_cast,Malcolm Kenyatta - Election Day,Malcolm Kenyatta - Absentee,Malcolm Kenyatta - Provisional,Tim DeFoor - Election Day,Tim DeFoor - Absentee,Tim DeFoor - Provisional,Reece Smith - Election Day,Reece Smith - Absentee,Reece Smith - Provisional,Bob Goodrich - Election Day,Bob Goodrich - Absentee,Bob Goodrich - Provisional,Eric K. Anton - Election Day,Eric K. Anton - Absentee,Eric K. Anton - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Aleppo,1363,Auditor General,1128,264,243,6,367,177,7,13,4,0,2,0,0,2,0,0,0,0,0
Aspinwall Dist 1,855,Auditor General,730,311,125,7,214,30,0,16,3,0,5,0,1,0,0,0,0,0,0
Aspinwall Dist 2,582,Auditor General,472,200,84,8,120,15,1,8,3,0,6,0,0,1,1,0,0,1,0
Aspinwall Dist 3,827,Auditor General,698,318,123,8,159,44,2,8,1,0,2,0,0,1,0,0,1,0,0
Avalon Ward 1,1115,Auditor General,849,375,157,16,191,40,5,15,4,1,8,3,0,5,0,0,3,0,0
Avalon Ward 2 Dist 1,712,Auditor General,554,233,95,6,135,35,3,17,2,0,10,0,0,0,0,0,0,0,0
Avalon Ward 2 Dist 2,472,Auditor General,369,142,82,8,85,34,0,10,0,0,0,0,0,0,0,0,0,0,0
Avalon Ward 3 Dist 1,335,Auditor General,281,98,62,0,75,22,1,4,1,0,3,1,0,1,1,0,1,0,0
Avalon Ward 3 Dist 2,459,Auditor General,356,112,101,4,81,24,1,8,3,0,4,1,0,3,0,0,0,0,0
Avalon Ward 3 Dist 3,517,Auditor General,377,153,91,3,74,33,2,6,1,0,3,1,0,0,0,0,0,0,0
Baldwin Br Dist 1,613,Auditor General,505,147,102,3,174,49,0,4,4,0,2,1,0,1,0,0,0,0,0
Baldwin Br Dist 2,1041,Auditor General,881,246,205,0,280,76,1,11,5,0,7,3,0,1,0,0,1,1,0
Baldwin Br Dist 3,857,Auditor General,713,253,127,4,224,49,2,16,4,0,3,1,0,1,1,0,1,0,0
Baldwin Br Dist 4,798,Auditor General,671,173,106,5,254,61,2,15,5,0,4,5,1,3,2,0,0,0,0
Baldwin Br Dist 5,840,Auditor General,690,203,116,6,235,63,4,10,4,0,7,0,1,3,1,0,0,0,0
Baldwin Br Dist 6,743,Auditor General,616,143,124,4,236,61,3,12,1,0,3,2,1,2,0,0,0,0,0
Baldwin Br Dist 7,833,Auditor General,705,201,140,3,240,67,2,14,2,0,6,1,0,1,0,0,0,0,1
Baldwin Br Dist 8,729,Auditor General,631,157,119,1,218,67,2,11,5,0,5,0,0,0,0,1,0,0,0
Baldwin Br Dist 9,776,Auditor General,636,168,147,5,195,52,5,11,3,1,13,2,0,2,0,1,0,1,0
Baldwin Br Dist 10,1029,Auditor General,637,212,116,10,166,59,8,10,1,1,8,2,0,5,3,1,0,0,0
Baldwin Br Dist 11,1308,Auditor General,826,294,183,26,186,54,7,7,6,1,11,3,0,2,2,0,3,0,0
Baldwin Br Dist 12,660,Auditor General,565,168,95,2,203,47,0,9,0,1,5,0,1,1,1,0,1,0,0
