precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Aleppo,1363,Presidential Electors,1128,306,274,11,348,153,5,7,2,0,6,2,0,4,4,0
Aspinwall Dist 1,855,Presidential Electors,730,342,139,9,208,26,0,0,1,0,2,0,0,2,1,0
Aspinwall Dist 2,582,Presidential Electors,472,226,100,7,114,16,2,3,0,0,2,0,0,0,1,0
Aspinwall Dist 3,827,Presidential Electors,698,339,142,10,160,34,2,2,1,0,3,2,0,2,0,0
Avalon Ward 1,1115,Presidential Electors,849,391,166,15,215,42,7,2,1,0,4,1,0,4,0,0
Avalon Ward 2 Dist 1,712,Presidential Electors,554,242,103,5,152,34,5,1,0,0,5,0,0,6,1,0
Avalon Ward 2 Dist 2,472,Presidential Electors,369,151,84,6,90,33,3,1,0,0,0,1,0,0,0,0
Avalon Ward 3 Dist 1,335,Presidential Electors,281,101,67,0,84,24,1,1,0,0,2,0,0,0,1,0
Avalon Ward 3 Dist 2,459,Presidential Electors,356,119,109,4,90,21,2,1,0,0,4,3,0,1,2,0
Avalon Ward 3 Dist 3,517,Presidential Electors,377,169,95,3,73,29,2,0,2,0,1,2,0,0,0,0
Baldwin Br Dist 1,613,Presidential Electors,505,152,112,2,183,47,1,1,1,0,3,1,0,0,1,0
Baldwin Br Dist 2,1041,Presidential Electors,881,268,231,1,299,69,0,3,1,0,2,1,0,3,3,0
Baldwin Br Dist 3,857,Presidential Electors,713,248,137,5,261,50,2,2,0,0,2,1,0,1,1,0
Baldwin Br Dist 4,798,Presidential Electors,671,188,116,5,281,63,2,3,4,0,2,2,0,0,1,0
Baldwin Br Dist 5,840,Presidential Electors,690,213,139,7,268,53,4,0,1,0,1,1,0,1,1,0
Baldwin Br Dist 6,743,Presidential Electors,616,157,133,5,245,60,5,2,0,0,3,0,0,3,0,0
Baldwin Br Dist 7,833,Presidential Electors,705,217,158,3,257,62,2,2,0,0,2,0,0,0,0,0
Baldwin Br Dist 8,729,Presidential Electors,631,164,149,2,247,59,3,0,0,0,4,1,0,0,1,0
Baldwin Br Dist 9,776,Presidential Electors,636,175,152,8,234,54,4,0,1,0,3,1,0,0,1,0
Baldwin Br Dist 10,1029,Presidential Electors,637,224,133,13,191,60,8,4,0,0,3,0,0,0,0,0
Baldwin Br Dist 11,1308,Presidential Electors,826,305,199,26,211,62,10,4,0,0,1,2,0,4,1,0
Baldwin Br Dist 12,660,Presidential Electors,565,172,105,3,232,44,0,0,1,0,2,0,0,2,3,0
Baldwin Br Dist 13,685,Presidential Electors,605,180,94,4,256,58,2,2,0,0,3,0,0,4,0,0
Baldwin Br Dist 14,614,Presidential Electors,520,163,74,4,206,66,2,2,0,0,1,0,0,0,0,0
Baldwin Br Dist 15,806,Presidential Electors,705,181,151,1,296,61,4,1,2,0,2,1,0,1,3,0
Baldwin Br Dist 16,916,Presidential Electors,741,257,140,2,268,62,3,1,0,0,1,2,0,3,0,0
Baldwin Br Dist 17,678,Presidential Electors,564,176,109,7,184,77,3,2,0,0,0,1,0,0,0,0
Baldwin Br Dist 18,972,Presidential Electors,820,244,192,10,277,73,4,2,1,0,4,1,0,1,3,0
Baldwin Tp Dist 1,809,Presidential Electors,696,264,128,2,249,43,0,2,0,0,3,0,0,1,0,0
